predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,fdr_p
idbloodgroupcat,HB,predictorvalue,1,91328,597.57,597.57,5.66088E-132,1.5030467E-131,7.36493E-129
meandonationtime,EVF,predspline,2,55543,505.05,252.53,2.13661E-110,6.6886180E-110,1.63871E-107
meanstoragetime,HB,predspline,2,91286,400.63,200.32,1.008085E-87,1.5625884E-87,2.552228E-85
meandonorhb,HB,predspline,2,90585,379.02,189.51,4.97527E-83,7.3879132E-83,9.050194E-81
meanstoragetime,EVF,predspline,2,55633,233.50,116.75,1.9744E-51,2.5208501E-51,2.470433E-49
donorparity,HB,predictorvalue,2,91402,216.51,108.25,9.684168E-48,1.1006680E-47,8.988788E-46
meandonorsex,HB,predictorvalue,1,91403,207.10,207.10,5.902084E-47,6.6430199E-47,4.650114E-45
meanstoragetime,ERYTRO,predspline,2,36539,189.39,94.70,7.471724E-42,9.5420332E-42,5.844495E-40
meandonorage,MCV,predspline,2,36815,135.50,67.75,3.765435E-30,4.2641538E-30,2.321595E-28
meandonorhb,ERYTRO,predspline,2,36198,122.40,61.20,2.633364E-27,2.9197721E-27,1.430688E-25
meanstoragetime,MCV,predspline,2,36763,114.14,57.07,1.6398E-25,1.7913789E-25,7.979779E-24
numdoncat,EVF,predictorvalue,4,55732,100.00,25.00,9.832105E-21,1.0264592E-20,4.191375E-19
meandonorage,MCH,predspline,2,36906,72.67,36.34,1.657575E-16,1.7178669E-16,6.475037E-15
idbloodgroupcat,ERYTRO,predictorvalue,1,36564,62.70,62.70,2.408931E-15,2.4765865E-15,8.668053E-14
meandonorsex,ERYTRO,predictorvalue,1,36593,59.14,59.14,1.468424E-14,1.5051012E-14,4.916664E-13
idbloodgroupcat,CL,predictorvalue,1,21046,59.02,59.02,1.563201E-14,1.6313728E-14,4.996079E-13
donorparity,ERYTRO,predictorvalue,2,36592,59.14,29.57,1.438322E-13,1.4730675E-13,4.2459E-12
donorparity,MCV,predictorvalue,2,36815,56.29,28.14,5.995168E-13,6.1254068E-13,1.667472E-11
meandonorhb,MCHC,predspline,2,23853,54.09,27.05,1.792898E-12,1.8486511E-12,4.767574E-11
idbloodgroupcat,BILI,predictorvalue,1,22333,46.59,46.59,8.772683E-12,8.9973898E-12,2.204361E-10
meandonorsex,MCV,predictorvalue,1,36816,41.25,41.25,1.336261E-10,1.3525320E-10,3.155908E-9
timesincecat,EVF,predictorvalue,3,55733,44.18,14.73,1.3820801E-9,1.3936929E-09,3.1041343E-8
numdoncat,HB,predictorvalue,4,91456,40.40,10.10,3.5801799E-8,3.5946701E-08,7.6582102E-7
meandonorhb,MCH,predspline,2,36507,30.83,15.41,2.0241838E-7,2.0373910E-07,4.1596734E-6
